User,Product,EstimatedRating
VINOTH S,Skullcandy Ink'd Bluetooth Headset with Mic,4.186443537900917
Amol,Skullcandy Jib Headset with mic,4.141376144576838
Aamir Haque,"APPLE iPhone SE (Black, 256 GB)",4.356553239976807
Maheshswari  Maheshswari ,"REDMI 9i (Sea Blue, 64 GB)",4.257640209667819
Vivek  Kumar,boAt BassHeads 220 Super Extra Bass Wired Headset,4.195831998964582
KULDEEP BISHT,JBL Flip 4 16 W Portable Bluetooth Speaker,4.3342617684939135
subho roy,Dr. Morepen BP-11 Bp Monitor,4.207209014043124
Flipkart Customer,"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.49760733692101
Flipkart Customer,"OPPO F11 Pro (Thunder Black, 64 GB)",4.40742394547232
Flipkart Customer,"Redmi 6 (Blue, 32 GB)",4.376972140178363
Flipkart Customer,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.339941376015207
Flipkart Customer,"Redmi 6 (Gold, 32 GB)",4.3325356408255695
Flipkart Customer,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.319225237900265
Flipkart Customer,"SAMSUNG Galaxy J2 2018 (Black, 16 GB)",4.308400104607071
Flipkart Customer,"REDMI 9i (Sea Blue, 64 GB)",4.278338661683719
Flipkart Customer,"REDMI 9i (Sea Blue, 64 GB)",4.278338661683719
Flipkart Customer,Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.234491277368074
Jalpesh Desai,ZEBRONICS ZEB-THUNDER Bluetooth Headset,4.091924129593782
Sunil Kansotiya,"MOTOROLA G40 Fusion (Frosted Champagne, 64 GB)",4.282439892728562
Saurabh  vishwakarma,"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.250525751091976
ANSHUL Customer,Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4.1474886283527015
LOGESH DHARAN,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),4.446334389328232
Anand Kumar,Himalayan Natives Apple Cider Vinegar,4.31973865920296
Utkarsh Aman,"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",4.404108578367206
aayushi parashar,boAt Bassheads 103 Wired Headset,4.320743523755697
Giridharilal  Sharma ,Mivi Roam 2 5 W Portable Bluetooth Speaker,4.386476671085315
Sahabul  Haque ,Mivi Collar Classic Neckband with Fast Charging Bluetooth Headset,4.129413617320917
bharti  sanghvi ,"APPLE iPhone 6s Plus (Rose Gold, 64 GB)",4.31552375302217
Pradeepta Kumar  Jena ,Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.332253621498097
Venkata Ramachandra Rao Macharla,"vivo V5 (Crown gold, 32 GB)",4.263411114307661
Somnath Dey,SAMSUNG Metro 313,4.224593635327213
Vishal Kumar,SAMSUNG Guru Music 2,4.270700044313786
Hari Haran,SAMSUNG Guru Music 2,4.268501459534028
Harinath Manokaran,Dr. Morepen BP-11 Bp Monitor,4.207209014043124
Nabi Khan,Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.3153155672910195
MIKAN  MOHANTY ,DELL Inspiron 14 3000 Series Core i3 7th Gen - (4 GB/1 TB HDD/Linux) inspiron 3467 Laptop,4.209139934278953
MIDHUN  CHANDRAN,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.362370270338613
Jackson Ckz,Mivi Roam 2 5 W Portable Bluetooth Speaker,4.386476671085315
Reshma ,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.404409349227347
jeevanantham s,Skullcandy Ink'd Bluetooth Headset with Mic,4.186443537900917
Prasant Kumar Baral,SAMSUNG Guru Music 2,4.268501459534028
Ajay Pyaraka,"Redmi 1S (Metal Gray, 8 GB)",4.307676338537444
Anjalu Boro,"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.229098904478009
Rudra  Narayan behera,SAMSUNG Metro 313,4.224593635327213
